Question,Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points,Description
What will she do?,Multiple choice,Go to the cinema,Go camping,Go for a drive,,Go for a drive,1,Đi lái xe.
How much do eggs cost?,Multiple choice,1.50 pounds,1.60 pounds,1.70 pounds,,1.50 pounds,1,
What are the main activities taking place this weekend?,Multiple choice,Camping (last holiday),They go swimming,They walk together,,Camping (last holiday),1,Cắm trại.
What color do you like?,Multiple choice,Red,White,Blue,,White,1,Màu trắng.
Harvest - price mentioned,Multiple choice,2.50 pounds,2.90 pounds,3.50 pounds,,2.50 pounds,1,"2,50 bảng."
You are going to Edinburgh by train. Which platform should you go to?,Multiple choice,Two,Three,Four,,Two,1,Cửa số 2.
Where do you usually go when you travel?,Multiple choice,Go to the park,Go to the swimming pool,Go to the restaurant,,Go to the park,1,Đi tới công viên.
Where to hold the event?,Multiple choice,Outside,Market,School,,Outside,1,Ở bên ngoài.
Where did they meet?,Multiple choice,The parking lot,The front entrance,The school gate,,The front entrance,1,Lối vào chính.
Which country will they study next semester?,Multiple choice,France,Germany,Italy,,France,1,Pháp.
You want to buy a new computer. Which button on your phone should you press?,Multiple choice,One,Two,Three,,One,1,
Listen to the phone message about a meeting. What does John want Ruth to do?,Multiple choice,Have the meeting without him,Cancel the meeting,Wait for him,,Have the meeting without him,1,
Listen to Mary talking to her friends. What does she ask them about?,Multiple choice,Where the supermarket is,How to set up the bedroom,Where to buy a new table,,Where to buy a new table,1,
Listen to a man talk about weekends. What does his family do most weekends?,Multiple choice,Goes to the park,Goes to the mountains,Go to the city,,Goes to the park,1,
A tour leader is giving information. Where will the group wait for the bus?,Multiple choice,By the hotel's side entrance,Behind the hotel,By the hotel's main entrance,,By the hotel's main entrance,1,
Henry talks to his colleague about some clients. How many clients are American?,Multiple choice,Three,One,Five,,One,1,
A friend tells John how to drive to the station. How long does it take?,Multiple choice,40 minutes,20 minutes,30 minutes,,20 minutes,1,
Listen to the message. Which room is the first class for computer course in?,Multiple choice,Room 304,Room 206,Room 301,,Room 301,1,
Listen to the announcement. Where will the people meet for the bus home?,Multiple choice,Marketplace,Stadium,Hotel,,Marketplace,1,
There is a meeting with the clients. What time do they want the meeting?,Multiple choice,12.30 p.m.,2 p.m.,1.30 p.m.,,2 p.m.,1,
Listen to a brother and a sister at the sister's new flat. What does the man have to drink?,Multiple choice,Tea,Water,Coffee,,Water,1,
A woman is calling her husband. What time is lunch going to be ready?,Multiple choice,2 p.m.,12:30 p.m,1.15 p.m.,,2 p.m.,1,
What time do they meet?,Multiple choice,5.45 pm,6.15 pm,6.30 pm,,6.30 pm,1,
What is her favorite thing to do in her spare time?,Multiple choice,Going to the theatre,Go to the park,Listen to music,,Going to the theatre,1,
Maria is asking the receptionist about her class. What floor is the French class on?,Multiple choice,First floor,Second floor,Third floor,,Second floor,1,
How much does the cake cost?,Multiple choice,Three dollars twenty,Five dollars twenty,Two dollars twenty,,Two dollars twenty,1,
What does she think about the book?,Multiple choice,Interesting,Boring,Exciting,,Interesting,1,
