Question,Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points,Description
Listen to a tour guide talk about why a tour was canceled. What was the reason?,Multiple choice,Not enough people,Bad weather,Transportation problems,,Not enough people,1,Chuyến tham quan bị hủy vì không đủ người tham gia.
A woman is talking about shopping places. Where does she go shopping?,Multiple choice,At the downtown market,At a new shopping center,At the mall,,At a new shopping center,1,Cô ấy sẽ đến trung tâm mua sắm mới mở.
Listen to the instructions of a university. Where is the main office?,Multiple choice,On the third floor,On the first floor,In the basement,,On the first floor,1,Văn phòng chính nằm ở tầng một của tòa nhà trung tâm.
A finance expert is giving advice to young people. What shouldn't they do?,Multiple choice,Spend too much on clothes.,Ask for more money.,Save for emergencies.,,Ask for more money.,1,Chuyên gia khuyên không nên vay tiền quá nhiều mà nên tiết kiệm.
Lucy is calling her friend. What is her sister like?,Multiple choice,She is young,They have similar characters,She will be wearing red coat,,They have similar characters,1,Lucy nói chị gái của cô ấy trông giống cô.
Tom is calling his friend. What time will they meet?,Multiple choice,6 PM,5 PM,7 PM,,7 PM,1,Tom muốn gặp bạn lúc 7 giờ tối.
A boy is talking about his cat. What does he feed the cat?,Multiple choice,Mice,Insects,Fish,,Fish,1,Con mèo của Alex thích ăn cá.
A girl is talking about a show she will attend. What will end with?,Multiple choice,A dance performance,A big celebration,A surprise performance,,A surprise performance,1,Chương trình sẽ kết thúc bằng một màn trình diễn bất ngờ.
Listen to a student talking about his study. What course is the student going to take this year?,Multiple choice,Math,Computer,Science,,Computer,1,Ben sẽ học môn máy tính trong năm nay.
Listen to a saleswoman talking about a property. Which room is the largest?,Multiple choice,Bedroom,Kitchen,Bathroom,,Kitchen,1,Phòng bếp là phòng lớn nhất trong ngôi nhà.
Listen to a radio man talking about a new popular song. Which is the most attractive part of the song?,Multiple choice,The words,The instruments,The cover art,,The words,1,Phần hấp dẫn nhất của bài hát là lời bài hát.
A student is talking about housing. Where does he live now?,Multiple choice,In a small village,In an apartment,In a townhouse,,In a townhouse,1,Jack sống ở một khu nhà gần trường đại học.
A man is talking to a shop assistant. What does he want to buy?,Multiple choice,A T-shirt,A suit for the office,A pair of shoes,,A suit for the office,1,Anh ấy cần mua một bộ vest cho công việc.
A woman is talking to a police officer. What did she lose?,Multiple choice,Wallet,Phone,Car,,Phone,1,Cô ấy không thể tìm thấy điện thoại của mình.
Lily is talking about her daily routine. What does she do in the evening?,Multiple choice,Goes for a walk.,Plays video games.,Cooks dinner.,,Goes for a walk.,1,Lily nói sau bữa tối cô ấy thường đi dạo.
A man is talking about his daily routine. What does he do after work?,Multiple choice,Goes to the gym.,Plays football.,Reads books.,,Plays football.,1,"Sau khi làm việc, anh ấy chơi bóng đá với bạn bè."
A man and a woman are talking about shopping. What does the man buy in shops?,Multiple choice,Furniture,Cups,Clothes,,Clothes,1,
A man and a woman are talking about driving. Why did the man learn to drive?,Multiple choice,He has to travel to work,He lost his driving license,He bought a new car,,He has to travel to work,1,
What time does the party start?,Multiple choice,3 o'clock,4 o'clock,5 o'clock,,3 o'clock,1,
A man has a new job. How many days does the man have to work?,Multiple choice,3 days,5 days,6 days,,3 days,1,
Why can't he (the repairman) do the job today?,Multiple choice,He is going to the cinema,He is tired,He has another appointment,,He has another appointment,1,
What is the man going to do?,Multiple choice,Work overtime,Get something to eat,Watch a movie,,Get something to eat,1,
What is the new health center next to?,Multiple choice,A supermarket,A school,A train station,,A train station,1,
A father phoning his children. What will he buy?,Multiple choice,Tea,Coffee,Coke,,Tea,1,
A girl calling client about their work time. When will the shop open on Monday?,Multiple choice,8.30 p.m,8.30 a.m,7.30 a.m,,8.30 a.m,1,
A girl calls her friend about a party. What will she take there?,Multiple choice,Games,Cards,Food,,Games,1,
David and Anna are waiting for the bus together. Which bus stops near the house?,Multiple choice,Number one,Number eight,Number seven,,Number eight,1,
