Question,Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points,Description
A man is talking to a shop assistant. What does the man buy in the shop?,Multiple choice,Mugs,Candles,Clothes,,Clothes,1,"Người đàn ông cuối cùng quyết định mua quần áo cho bạn bè. Trong cuộc trò chuyện, anh ta không chọn cốc hay nến."
A man is calling his teacher to meet for the assignment. When is the meeting?,Multiple choice,On Thursday afternoon,On Tuesday morning,On Thursday morning,,On Thursday morning,1,John xác nhận cuộc hẹn vào sáng thứ Năm lúc 10 giờ.
Two colleges talk about meeting. When do they want to meet?,Multiple choice,On Tuesday,On Sunday,On Saturday,,On Tuesday,1,Người phụ nữ chọn thứ Ba vì không thể họp vào thứ Bảy hoặc Chủ Nhật.
A man is calling his friend to meet for coffee. Where is the Coffee shop located?,Multiple choice,Opposite the gift shop,Next to the gift shop,Behind the gift shop,,Opposite the gift shop,1,Quán cà phê nằm đối diện cửa hàng quà tặng trên Main Street.
A man is talking about the environment of the countryside. What is the main cause of poor air quality?,Multiple choice,Smokes from factories,Vehicles on the roads,Fires in the countryside,,Fires in the countryside,1,Khói từ các đám cháy do nông dân đốt làm giảm chất lượng không khí.
A woman is talking about her holiday plan. Where is she going on holidays?,Multiple choice,the cave,the beach,the mountains,,the mountains,1,Cô gái quyết định đi nghỉ ở vùng núi vì sự trong lành và yên bình.
Linda is talking about what she likes to eat. What does she have for lunch?,Multiple choice,Tea,Coffee,Juice,,Tea,1,Linda nói cô ấy thích uống trà ấm trong bữa trưa.
Listen to Sarah talking about her hobby. What does she do in her free time?,Multiple choice,Read books and paint,Watch movies and go shopping,go to the theater and play sports,,go to the theater and play sports,1,Sarah thích đi xem kịch và chơi thể thao với bạn bè.
"Listen to Anna talk about his old manager, George. What did Anna say about George?",Multiple choice,He didn't like her,He taught her a lot,He was very strict,,He taught her a lot,1,Anna nói George đã dạy cô rất nhiều thứ khi mới làm việc.
A man is seeking advice on future career. What is he going to do?,Multiple choice,To work in business,To become a teacher,To study at college,,To work in business,1,Người đàn ông quyết định chọn con đường kinh doanh sau khi nghe về bạn mình.
Listen to a woman talking about what she has just bought. What is Dress she wears like?,Multiple choice,Black and white,Long and white,Long and red,,Long and red,1,"Cô gái mô tả chiếc váy của mình dài và màu đỏ, giống như hoàng hôn."
Listening to Sarah leaving a message for her friend. When does she want to meet?,Multiple choice,Two o'clock,Three o'clock,One o'clock,,Three o'clock,1,Sarah yêu cầu đổi giờ gặp từ 2 giờ sang 3 giờ chiều.
Listening to a tour guide talking about Rock city. How old is the city?,Multiple choice,2500 years,1500 years,3500 years,,1500 years,1,Hướng dẫn viên nói rằng mọi người bắt đầu sống tại Rock City khoảng 1500 năm trước.
Listen to the announcement. When does the train leave?,Multiple choice,At 9:15,At 9.30,At 9.45,,At 9:15,1,Người phụ nữ thông báo rằng giờ khởi hành đã thay đổi từ 9:30 thành 9:15.
Listen to a woman talking about her parents. How is she similar to her mother?,Multiple choice,They have similar appearance,They have similar interests,They have similar personalities,,They have similar interests,1,Họ có sở thích giống nhau.
You are on a tour. Listen to the announcement to find out where you will have tea.,Multiple choice,On the Mountain Boat,On the River Boat,On the beach Boat,,On the River Boat,1,Trà sẽ được phục vụ trên thuyền sông.
A girl is talking about a film. What did she like best about the film?,Multiple choice,Racing scenes,Fight scenes,The mountain scenes,,The mountain scenes,1,Cô ấy thích nhất các cảnh quay trên núi.
An employee is talking about getting up early. Why does she get up early?,Multiple choice,to have some quiet time,to go to work early,to take care of children,,to have some quiet time,1,Cô ấy dậy sớm để tận hưởng sự yên tĩnh.
A woman tells her friend about her plans for the day. What is the woman going to do?,Multiple choice,Have coffee,Have lunch,Drink tea,,Have coffee,1,Dự định uống cà phê cùng bạn.
A woman shares her job with her friend. Why does she want to become a writer?,Multiple choice,to earn much money,to help people,to become famous,,to help people,1,Cô ấy viết để giúp mọi người.
Listen to Marry talking to Jane while waiting for James. What did they decide to do?,Multiple choice,Have meeting without him,Continue to waiting for him,Cancel the meeting,,Have meeting without him,1,Quyết định họp mà không đợi James.
A man and woman are discussing their plans for the evening. What do the man and woman decide to do in the evening?,Multiple choice,Make plans later,Go to the movie,Stay at home,,Make plans later,1,Họ chưa quyết định và để ngỏ kế hoạch.
Listen to the conversation between Douglas and Kay. Why does Douglas call Kay?,Multiple choice,ask for a favor,suggest a meeting,say thank you,,say thank you,1,Douglas gọi để cảm ơn Kay.
Listen to the director talking about sales of his company. How many copies of Freeze Frame magazine were sold?,Multiple choice,"Over 300,000 copies","Over 3,000 copies","Over 30,000 copies",,"Over 300,000 copies",1,Bán được hơn 300.000 bản tạp chí.
Listen to the chief announce to students. When is lunch ready?,Multiple choice,12:30 p.m,2:00 p.m,1:15 p.m,,2:00 p.m,1,Giờ ăn trưa bị dời sang 2:00 chiều.
The woman is walking into a local store. How much are the cleaning products?,Multiple choice,One pound fifty,Two pounds fifty,Three pounds fifty,,One pound fifty,1,"Giá sản phẩm làm sạch là 1,50 bảng, bất ngờ hơn giá bình thường."
Listen to David talking about the conference. How long did he talk in the speech?,Multiple choice,30 minutes,45 minutes,15 minutes,,15 minutes,1,Bài nói của David kéo dài 15 phút.
Greg and Liz from the office are talking about daily travel. How does Greg travel to work?,Multiple choice,By bike,By car,By bus,,By bus,1,
In which room will the director's presentation happen?,Multiple choice,The meeting room,In a cafe,In his own office,,The meeting room,1,
Where is she taking the staff to?,Multiple choice,To a nearby city,To a different country,To the suburb,,To a different country,1,
What is she going to take with her?,Multiple choice,Games,Books,Clothes,,Games,1,
What do they decide to write about?,Multiple choice,A historian,A philosopher,A physician,,A historian,1,
Employee describing an office building. Which floor is the break room at?,Multiple choice,Second,Third,Fourth,,Third,1,
Teacher talking to a college student. Which club will the student choose?,Multiple choice,The art club,Garden club,Tech club,,The art club,1,
Shop manager calling employee. When will the shop open again?,Multiple choice,Monday,Thursday,Tuesday,,Thursday,1,
Message for the members of the book club. Where is the meeting?,Multiple choice,In a library,Classroom,The art centre,,The art centre,1,
Stephanie wants a job looking after children. How old is she?,Multiple choice,21,20,22,,21,1,Stephanie tự giới thiệu tuổi của mình.
Listening to a woman's announcement. Where will they wait for the bus?,Multiple choice,Behind the hotel's main entrance,By the hotel's main entrance,By the hotel's side entrance,,By the hotel's main entrance,1,Xe buýt sẽ đón ở lối chính của khách sạn.
Listening to a man talking about his business trip. What does he like in Dubai?,Multiple choice,He enjoy the food there,He enjoys his job there,He enjoys the people there,,He enjoys his job there,1,Người nói nhấn mạnh niềm yêu thích công việc tại Dubai.
Listen to the speaker talking about their weekly schedule. When is the meeting scheduled?,Multiple choice,Monday morning,Friday evening,Wednesday afternoon,,Wednesday afternoon,1,Cuộc họp được dời sang chiều thứ Tư.
Listen to the conversation. Who is she taking a photo of?,Multiple choice,The boys' and the girls' team,The girls' team,Sue and Lily,,The girls' team,1,Người nói đang chuẩn bị chụp ảnh đội nữ.
Listen to the woman talking about her holiday plans. Where is she going next?,Multiple choice,The east,The north,The south,,The south,1,Người phụ nữ nói về chuyến đi đến phía Nam để khám phá vùng núi.
Listen to a writer talking about her job. What is her first job?,Multiple choice,Teacher,Doctor,Engineer,,Teacher,1,Công việc đầu tiên của người này là dạy học.
Listen to the conversation about the directions. Where is the library located?,Multiple choice,On the left of the square,In front of the square,Behind the square,,On the left of the square,1,"Thư viện nằm bên trái quảng trường, không phải trước hay phía sau."
Listen to a principal talking about new school facilities. What new facility will the school have?,Multiple choice,a new library,a sports field,the performance space,,the performance space,1,"Cơ sở mới là không gian biểu diễn, không phải thư viện hay sân thể thao."
Listen to the speaker talking on the radio. What is she talking about?,Multiple choice,Her favorite hobby,Her journey to work,Her weekend plans,,Her journey to work,1,"Bài nói mô tả hành trình hàng ngày đến nơi làm việc, không phải sở thích hay kế hoạch cuối tuần."
Listen to an actor discussing his hobbies. What does the actor like to do in his free time?,Multiple choice,Drawing,Watching movies,Playing sports,,Drawing,1,Người nói thích vẽ hơn là xem phim hay chơi thể thao.
Listen to a teacher talking about meeting preparations. What is the teacher preparing for the meeting now?,Multiple choice,Set up the chairs,Organize the documents,Order the food,,Order the food,1,"Hiện tại, ưu tiên của người này là đặt đồ ăn."
Listen to a woman giving advice on saving money. What advice does she give to save money?,Multiple choice,Buy in bulk,Use the public transport,Put money into the bank,,Use the public transport,1,Lời khuyên chính là sử dụng phương tiện công cộng.
Two friends are discussing a movie they recently watched. What elements of the film do they agree on?,Multiple choice,The music,The ending,The characters,,The ending,1,Cả hai đồng ý rằng cái kết rất hay.
A woman on the radio is talking about movies. Which film does she recommend?,Multiple choice,A comedy,A romantic film,An action film,,An action film,1,Bộ phim cô ấy giới thiệu là phim hành động.
A woman is talking to her coworker. When does the meeting start?,Multiple choice,10:00,10:15,11:15,,10:15,1,Cuộc họp bắt đầu lúc 10:15.
Samia is going to meet her friend. What time are they going to meet?,Multiple choice,9:00,10:00,9:30,,10:00,1,Họ dự định gặp lúc 10:00.
A man is giving directions to a friend about how to get to the football club. The football club is near,Multiple choice,A grocery store,A park,A library,,A park,1,Câu lạc bộ bóng đá gần công viên.
Nate is talking to his friend about the holiday. How long was he in India?,Multiple choice,3 days,1 week,2 weeks,,2 weeks,1,Nate ở Ấn Độ hai tuần.
Soobin is talking about his favorite room. What is Soobin's favorite room?,Multiple choice,Living room,Bathroom,Kitchen,,Bathroom,1,Phòng yêu thích của Soobin là phòng tắm.
A woman is chatting with a friend about her afternoon plans. What is she going to do this afternoon?,Multiple choice,Go on a city tour,Visit a museum,Relax at home,,Go on a city tour,1,Cô ấy định tham gia một chuyến tham quan thành phố.
A woman is talking about her usual Saturday routine. What does she usually do on Saturdays?,Multiple choice,Meeting a friend,Going shopping,Seeing her family,,Seeing her family,1,Cô ấy thường dành thời gian bên gia đình vào thứ Bảy.
A man is talking to a friend about his family. What is his main problem?,Multiple choice,Persuading his family,Finding a job abroad,Saving money for the move,,Persuading his family,1,Vấn đề chính của anh ấy là thuyết phục gia đình.
A man is describing his school. What color is the teacher's building?,Multiple choice,Blue,White,Yellow,,White,1,Tòa nhà của giáo viên có màu trắng.
The woman is discussing her new exercise routine. How much time does she spend cycling?,Multiple choice,15 minutes,25 minutes,35 minutes,,35 minutes,1,Cô ấy đạp xe trong 35 phút.
Lalia is talking to her friend about her upcoming trip. How much does she think the bus fare will be?,Multiple choice,£2.5,£3,£4.5,,£2.5,1,Người phụ nữ cho rằng giá vé xe buýt là £2.5.
Max is calling his friend. How much can Max pay for the computer?,Multiple choice,150 pounds,250 pounds,350 pounds,,250 pounds,1,Max có thể trả 250 bảng cho chiếc máy tính.
Mary is talking to her friend about her new home. What does she ask her friend about?,Multiple choice,Where to buy a new table,The furniture,Mirror,,Where to buy a new table,1,Mary hỏi bạn về việc mua bàn cà phê.
Aman is ordering a drink. What does he want?,Multiple choice,Beer,Water,Iced tea,,Iced tea,1,Aman muốn một ly trà đá.
The man is talking about his key. Where did he find the key?,Multiple choice,In his car,In the front door,In the bedroom,,In the front door,1,Người đàn ông tìm thấy chìa khóa dưới tấm thảm ở cửa trước.
A man is talking about his job. Where is he working now?,Multiple choice,At a university,In a big company,In a bank,,In a bank,1,Người đàn ông làm việc trong ngân hàng và giao dịch với các khách hàng từ các công ty lớn.
A woman is calling her son. What time will the mother meet the son?,Multiple choice,3 o'clock,4 o'clock,5 o'clock,,3 o'clock,1,Người phụ nữ sẽ gặp con trai vào lúc 3 giờ khi con học xong.
A woman is talking about her babysitter. How old is the baby-sitter?,Multiple choice,20,21,22,,21,1,Người phụ nữ nói rằng người giữ trẻ là một sinh viên đại học 21 tuổi.
A woman is going home after shopping. What did she buy?,Multiple choice,A dress,A blouse,A hat,,A dress,1,Người phụ nữ quyết định mua một chiếc váy vì nó vừa vặn hơn.
Jane is calling her friend Martha. What time are they going to meet?,Multiple choice,4.00,5.30,6.00,,5.30,1,Jane sắp xếp lại thời gian gặp mặt vào 5:30 thay vì 4:00.
A woman is discussing with her team. How many chairs does she need?,Multiple choice,12,15,20,,20,1,Người phụ nữ quyết định chuẩn bị 20 chiếc ghế để phòng trường hợp có khách.
A woman is talking about her plan for the holiday. What will she do during the holiday?,Multiple choice,Go for a bike ride,Go for a run,Go for a walk,,Go for a walk,1,Người phụ nữ lên kế hoạch đi bộ hàng ngày trong kỳ nghỉ để tận hưởng không khí trong lành.
Tom is calling his mom. Who is visiting Tom this weekend?,Multiple choice,His mother and uncle,His sister and children,His mother and sister,,His sister and children,1,"Tom nói mẹ anh ấy bận, nhưng chị gái và các con của cô ấy sẽ đến."
Louis is calling his friend Standar. Where will Luis meet Standar?,Multiple choice,Outside the station,At the cafe,Near the ticket counter,,Outside the station,1,Louis đề xuất gặp nhau ngoài ga cho thuận tiện.
Two friends are talking with each other. What did they both buy?,Multiple choice,Clothes,Teal,Cakes,,Clothes,1,"Người đàn ông mua áo khoác, người phụ nữ mua áo len — cả hai đều mua quần áo."
A man is reading the news about a housing development plan. How many new houses are going to be built?,Multiple choice,2500,1500,2000,,2000,1,Người đàn ông nghe tin địa phương sẽ xây dựng 2000 ngôi nhà mới.
A man is talking to a waiter. What drink does the man choose?,Multiple choice,Milk tea,Hot tea,Iced tea,,Iced tea,1,Người đàn ông quyết định chọn trà đá vì hôm nay trời nóng.
Listen to a message. How is Evan feeling?,Multiple choice,Sick,Tired,Excited,,Sick,1,
Simon calls Grace about the student meeting. What time does the meeting start?,Multiple choice,09.15,10.15,11.15,,10.15,1,
A tour guide is talking about a famous writer. What was the writer's first job?,Multiple choice,Teacher,Reporter,Interpreter,,Teacher,1,
What will the student write about?,Multiple choice,Ocean,Land,Space,,Land,1,
What does the teacher want the student to do?,Multiple choice,Prepare a presentation,Work in teams,Complete the assignments on time,,Complete the assignments on time,1,
What do the students need to do every Tuesday?,Multiple choice,Make a presentation,Write a report,Do exercises outside,,Write a report,1,
Listen to the radio program about a new restaurant. What does the man complain about?,Multiple choice,The service was unfriendly,The food was not delicious,The place was cold,,The place was cold,1,
2 friends talking about work. Why is the man happy about his new job?,Multiple choice,He learned lots of things,His travel time is shorter,It has better salaries,,His travel time is shorter,1,
Information about a new course. When does the marketing course start?,Multiple choice,Friday,Saturday,Monday,,Friday,1,
2 students talking about their school project. What do they decide to write about?,Multiple choice,Historian,Literature,Math,,Historian,1,
